Card,Store,Date,Amount,Category,Notes,Recurring,Who,Cycle
Wells Fargo,Home Team Pest,"May 11, 2025",139.64,Luxury (Home),,,Us,2025-05
Chase Prime,Amazon,"May 11, 2025",34.82,Food & Living,"Batteries, plant support and slug killer",,Us,2025-05
Discover,Mustang,"May 16, 2025",178.49,Utilities,,,Us,2025-05
Discover,Mustang,"May 16, 2025",1.25,Utilities,Fee,,Us,2025-05
Wells Fargo,Costco has,"May 18, 2025",35.21,Car,,,Us,2025-05
Chase Prime,Amazon,"May 18, 2025",28.98,Luxury (Home),Bird feed and water,,Us,2025-05
Discover,Usmle prometric,"May 20, 2025",100.00,Food & Living,Reinstating account,,Us,2025-05
Wells Fargo,Wells Fargo,"May 22, 2025",25.00,Interest or Fees,Late fee,,Us,2025-05
Chase Prime,Amazon,"May 26, 2025",20.00,Food & Living,Coffee and sunscreen,,Us,2025-05
Wells Fargo,Hulu,"May 27, 2025",1.07,Food & Living,,,Us,2025-05
Wells Fargo,Wells Fargo,"May 28, 2025",11.68,Interest or Fees,,,Us,2025-05
Amex Gold,Velvet taco,"May 29, 2025",5.59,Eat Out,Uber eats coupon coupon,,Us,2025-05
Amex Gold,Fossil Creek Liquor,"May 29, 2025",28.12,Drinks or Smokes,Naveen Bday,,Us,2025-05
Wells Fargo,Co Serv,"May 31, 2025",89.00,Utilities,,,Us,2025-05
Apple Card,Usmle prometric,"Jun 10, 2025",100.00,Food & Living,Reinstate,,Us,2025-06
BofA Debit,Amma Cheti Vanta,"Jun 11, 2025",9.99,Eat Out,,,Us,2025-06
Amex Gold,Metro,"Jun 11, 2025",54.74,Food & Living,,,Us,2025-06
Amex Gold,Chowrastha,"Jun 11, 2025",19.47,Eat Out,,,Us,2025-06
Amex Gold,Great clips,"Jun 12, 2025",28.00,Luxury (Personal),,,Us,2025-06
BofA Debit,Costco,"Jun 12, 2025",82.15,Food & Living,,,Us,2025-06
Amex Gold,H-E-B,"Jun 12, 2025",22.92,Food & Living,,,Us,2025-06
Amex Gold,Total eye care,"Jun 13, 2025",74.08,Luxury (Personal),,,Us,2025-06
Amex Gold,Coba,"Jun 14, 2025",72.10,Drinks or Smokes,Entry fee,,Us,2025-06
Amex Blue,NTTA,"Jun 14, 2025",20.00,Car,,,Us,2025-06
Chase Prime,Amazon,"Jun 14, 2025",23.00,Food & Living,Coffee and study lamp,,Us,2025-06
Amex Gold,Silo,"Jun 14, 2025",30.00,Drinks or Smokes,,,Us,2025-06
Amex Gold,Silo,"Jun 14, 2025",10.00,Drinks or Smokes,,,Us,2025-06
Amex Gold,Coba,"Jun 14, 2025",13.20,Drinks or Smokes,,,Us,2025-06
Amex Gold,Walmart,"Jun 14, 2025",213.68,Gifts,,,Us,2025-06
Discover,Mustang water,"Jun 15, 2025",180.95,Utilities,,,Us,2025-06
BofA Debit,Amma chethi vanta,"Jun 16, 2025",24.98,Eat Out,,,Us,2025-06
Amex Gold,Chowrastha,"Jun 18, 2025",23.17,Food & Living,,,Us,2025-06
Wells Fargo,Costco,"Jun 18, 2025",100.38,Food & Living,,,Us,2025-06
Wells Fargo,Costco,"Jun 18, 2025",25.95,Car,,,Us,2025-06
Amex Gold,Metro,"Jun 19, 2025",12.93,Food & Living,,,Us,2025-06
Amex Gold,Hashtag,"Jun 19, 2025",27.01,Eat Out,,,Us,2025-06
Amex Gold,Heb,"Jun 21, 2025",23.99,Food & Living,,,Us,2025-06
Amex Gold,Dunkin,"Jun 21, 2025",1.99,Eat Out,,,Us,2025-06
Amex Gold,Chowrastha,"Jun 21, 2025",15.50,Food & Living,,,Us,2025-06
PayPal,Temu,"Jun 21, 2025",69.33,Luxury (Home),,,Us,2025-06
PayPal,Sun and ski,"Jun 22, 2025",137.86,Luxury (Personal),GNP - shoes for me,,Us,2025-06
PayPal,Dicks,"Jun 22, 2025",93.08,Luxury (Personal),GNP - Shoes for subha,,Us,2025-06
Amex Gold,Krishna vilas,"Jun 24, 2025",30.00,Eat Out,,,Us,2025-06
Amex Gold,Chowrastha,"Sep 21, 2025",24.16,Food & Living,,,Us,2025-09
Amex Gold,Chowrastha,"Sep 22, 2025",9.35,Food & Living,,,Us,2025-09
Amex Gold,HEB,"Sep 22, 2025",11.89,Gifts,Gift for Bindu,,Us,2025-09
Amex Gold,SHEIN,"Sep 23, 2025",59.61,Luxury (Personal),Gym shirts,,Us,2025-09
Amex Gold,Ulta,"Sep 23, 2025",27.57,Luxury (Personal),,,Us,2025-09
Amex Gold,Walgreens,"Sep 23, 2025",18.39,Food & Living,Photos for h4 EAD extension,,Us,2025-09
Amex Gold,UPS,"Sep 23, 2025",18.82,Food & Living,Mailing photos for h4 EAD extension,,Us,2025-09
Amex Gold,Kroger,"Sep 23, 2025",38.03,Food & Living,,,Us,2025-09
Amex Gold,Cinemark,"Sep 23, 2025",13.54,Movies,Mirai,,Us,2025-09
Amex Gold,Amex,"Sep 25, 2025",67.50,Interest or Fees,Interest on balance,,Us,2025-09
Amex Gold,Chowrastha,"Sep 25, 2025",20.25,Food & Living,,,Us,2025-09
Discover,Kwik kar,"Sep 27, 2025",310.88,Car,"Oil change, transmission fluid change",,Us,2025-09
Discover,Chowrastha,"Sep 27, 2025",1.00,Food & Living,,,Us,2025-09
Discover,Karl lagerfield,"Sep 27, 2025",38.32,Gifts,Black shirt,,Us,2025-09
Discover,MK,"Sep 27, 2025",162.81,Gifts,White Mk bag and sandals,,Us,2025-09
Discover,Chowrastha,"Sep 28, 2025",12.86,Food & Living,,,Us,2025-09
Discover,Chowrastha,"Sep 28, 2025",7.49,Food & Living,,,Us,2025-09
Amex Gold,Maya creamery,"Sep 28, 2025",11.19,Food & Living,,,Us,2025-09
Chase Prime,India bazaar,"Feb 1, 2026",14.37,Food & Living,,,Us,2026-01
Discover,WOSV,"Feb 1, 2026",39.40,Drinks or Smokes,,,Us,2026-01
Wells Fargo,Coserv Electricity and Gas,"Feb 2, 2026",178.00,Utilities,,,Us,2026-01
Wells Fargo,Aid access,"Feb 2, 2026",150.00,Food & Living,,,Us,2026-01
BofA Debit,Cinemark,"Feb 3, 2026",11.90,Movies,,,Us,2026-01
Chase Prime,Dfw Pma - dr Malik pcp,"Feb 5, 2026",190.00,Others,Dr visit,,Us,2026-01
Discover,Tupelo honey,"Feb 5, 2026",82.00,Drinks or Smokes,Date,,Us,2026-01
Discover,Chowrastha,"Feb 5, 2026",15.13,Eat Out,Pani Puri,,Us,2026-01
Bilt,Cone shawarma,"Feb 6, 2026",11.91,Eat Out,,,Us,2026-01
Discover,Smokes,"Feb 7, 2026",66.68,Drinks or Smokes,,,Us,2026-01
Bilt,Mustang water,"Feb 9, 2026",138.60,Utilities,Water,,Us,2026-01
Wells Fargo,Optimum,"Feb 9, 2026",25.00,Utilities,,,Us,2026-01
Discover,Silo,"Feb 9, 2026",107.60,Drinks or Smokes,Silo yousuke April 4,,Us,2026-01
BofA Debit,AtT,"Jan 14, 2026",65.61,Utilities,WiFi,,Us,2026-01
Discover,Chowrastha,"Jan 16, 2026",62.13,Food & Living,,,Us,2026-01
Citi Double,Progressive,"Jan 16, 2026",678.31,Car,Cadillac insurance till may,,Us,2026-01
Bilt,Ulavacharu,"Jan 18, 2026",69.19,Eat Out,With fasak gang,,Us,2026-01
Bilt,Goli soda,"Jan 18, 2026",71.31,Eat Out,,,Us,2026-01
Wells Fargo,Kroger,"Jan 18, 2026",29.19,Gifts,Shiva CA cake,,Us,2026-01
Discover,Cinemark,"Jan 18, 2026",6.06,Movies,,,Us,2026-01
Chase Prime,Costco,"Jan 18, 2026",54.48,Food & Living,,,Us,2026-01
Discover,Union bear,"Jan 18, 2026",52.83,Eat Out,Date night,,Us,2026-01
Wells Fargo,All state,"Jan 20, 2026",1364.00,Car,Insurance for 6 months,,Us,2026-01
Chase Prime,Costco,"Jan 21, 2026",74.35,Food & Living,,,Us,2026-01
Discover,Chowrastha,"Jan 21, 2026",28.70,Food & Living,,,Us,2026-01
Bilt,Hashtag,"Jan 21, 2026",2.15,Eat Out,,,Us,2026-01
Chase Prime,Costco gas,"Jan 21, 2026",20.16,Car,,,Us,2026-01
Wells Fargo,Laxmi flowers,"Jan 22, 2026",4.33,Food & Living,,,Us,2026-01
Wells Fargo,Chowrastha,"Jan 22, 2026",1.02,Food & Living,,,Us,2026-01
Wells Fargo,Target,"Jan 22, 2026",4.06,Food & Living,,,Us,2026-01
Discover,Desi district,"Jan 22, 2026",11.35,Food & Living,,,Us,2026-01
Bilt,DLF,"Jan 22, 2026",69.19,Eat Out,,,Us,2026-01
Discover,Home Depot,"Jan 22, 2026",11.86,Food & Living,Insulation for softener,,Us,2026-01
Chase Prime,Amazon,"Jan 23, 2026",12.20,Luxury (Personal),Azelaic acid,,Us,2026-01
Citi Double,Progressive,"Jan 23, 2026",-613.88,Car,Insurance refund,,Us,2026-01
Chase Prime,Costco,"Jan 23, 2026",30.00,Food & Living,Liquid IV,,Us,2026-01
Chase Prime,Costco,"Jan 23, 2026",34.50,Gifts,Pepsi Rohith House Party,,Us,2026-01
Wells Fargo,Progressive,"Jan 23, 2026",1213.00,Car,Insurance,,Us,2026-01
Chase Prime,Amazon membership,"Jan 24, 2026",16.23,Luxury (Personal),Cancelled,,Us,2026-01
Chase Prime,Amazon,"Jan 24, 2026",16.23,Luxury (Personal),,,Us,2026-01
Wex Benefits,CVS,"Jan 26, 2026",54.11,Food & Living,,,Us,2026-01
Discover,Mc D,"Jan 26, 2026",4.10,Eat Out,,,Us,2026-01
Wells Fargo,Soul stonz,"Jan 27, 2026",43.30,Food & Living,Meditation,,Us,2026-01
Wells Fargo,Hulu,"Jan 27, 2026",12.98,Luxury (Personal),Cancelled on Feb 9,,Us,2026-01
Wells Fargo,Allstate,"Jan 29, 2026",-1304.51,Car,Refund,,Us,2026-01
Chase Prime,Costco,"Jan 30, 2026",105.12,Food & Living,,,Us,2026-01
Discover,Foodistan,"Jan 30, 2026",63.36,Food & Living,,,Us,2026-01
Discover,Simply south,"Jan 31, 2026",76.86,Eat Out,,,Us,2026-01
Discover,H-E-B,"Jan 31, 2026",21.82,Food & Living,B12 supplements,,Us,2026-01
Discover,Union park HOA,"Feb 11, 2026",710.74,Utilities,HOA fees,,Us,2026-02
Discover,Hashtag,"Feb 12, 2026",2.15,Drinks or Smokes,,,Us,2026-02
Discover,Nirvana smoke,"Feb 13, 2026",64.93,Drinks or Smokes,,,Us,2026-02
Discover,Walmart,"Feb 13, 2026",21.42,Drinks or Smokes,Balloon and beers,,Us,2026-02
Discover,Frisco base camp,"Feb 13, 2026",88.74,Eat Out,,,Us,2026-02
Discover,Maya creamery,"Feb 13, 2026",14.05,Eat Out,,,Us,2026-02
BofA Debit,Costco,"Feb 14, 2026",78.27,Food & Living,,,Us,2026-02
Discover,India metro,"Feb 14, 2026",25.24,Food & Living,,,Us,2026-02
Citi Double,Allen temple,"Feb 15, 2026",5.00,Food & Living,,,Us,2026-02
BofA Debit,Att,"Feb 15, 2026",40.00,Utilities,Phone bill for Jan,,Us,2026-02
Discover,Chowrastha,"Feb 15, 2026",4.38,Food & Living,,,Us,2026-02
Discover,Hashtag,"Feb 15, 2026",8.63,Eat Out,,,Us,2026-02
Citi Double,Zoo,"Feb 15, 2026",78.50,Travel,,,Us,2026-02
Discover,Zoo food,"Feb 16, 2026",25.95,Travel,,,Us,2026-02
Discover,Coffee,"Feb 16, 2026",8.40,Travel,,,Us,2026-02
Amex Blue,NTTA Tolls,"Feb 16, 2026",40.00,Travel,,,Us,2026-02
Citi Double,Seven 11,"Feb 16, 2026",25.96,Drinks or Smokes,,,Us,2026-02
Citi Double,Walmart,"Feb 18, 2026",17.37,Food & Living,,,Us,2026-02
Citi Double,Old west,"Feb 19, 2026",49.32,Eat Out,,,Us,2026-02
Citi Double,Golconda,"Feb 20, 2026",53.00,Eat Out,Srikanth decoration dhula,,Us,2026-02
Citi Double,Insomnia cookies,"Feb 20, 2026",37.44,Gifts,Chinnu,,Us,2026-02
Bilt,Golconda,"Feb 20, 2026",11.88,Eat Out,,,Us,2026-02
Bilt,Chowrastha,"Feb 20, 2026",11.98,Food & Living,,,Us,2026-02
Bilt,Bawarchi,"Feb 20, 2026",45.44,Eat Out,Haleem for Devi Bharat,,Us,2026-02
Bilt,World of smoke,"Feb 21, 2026",16.57,Drinks or Smokes,Vape - 2 Pepsi + 2 for Vamsi,,Us,2026-02
Bilt,Starbucks,"Feb 21, 2026",48.14,Eat Out,Srikanth housewarming coffee,,Us,2026-02
Citi Double,Bath and body,"Feb 22, 2026",61.27,Luxury (Home),,,Us,2026-02
Bilt,Summer moon,"Feb 22, 2026",11.58,Eat Out,Coffee,,Us,2026-02
Citi Double,Sunglasses hut,"Feb 22, 2026",113.66,Luxury (Personal),Sunglasses Subha Tory,,Us,2026-02
Chase Prime,Amazon,"Feb 23, 2026",27.99,Luxury (Personal),,,Us,2026-02
Citi Double,Guess,"Feb 23, 2026",43.68,Luxury (Home),Athayagaru handbag,,Us,2026-02
Citi Double,MK,"Feb 23, 2026",54.13,Luxury (Personal),Subha coat,,Us,2026-02
Bilt,Hugo boss,"Feb 23, 2026",104.57,Luxury (Personal),Green boss shirt,,Us,2026-02
Bilt,Levi’s,"Feb 23, 2026",55.83,Luxury (Personal),,,Us,2026-02
Citi Double,Haraaz coffee,"Feb 23, 2026",52.58,Eat Out,Austin,,Us,2026-02
Bilt,Bawarchi Biryani,"Feb 24, 2026",45.35,Eat Out,,,Us,2026-02
Bilt,Bawarchi,"Feb 24, 2026",45.35,Eat Out,Haleem and curry,,Us,2026-02
Citi Double,7/11,"Feb 24, 2026",10.94,Food & Living,,,Us,2026-02
Discover,Office canteen,"Feb 25, 2026",8.21,Eat Out,,,Us,2026-02
Discover,India bazaar,"Feb 25, 2026",48.25,Food & Living,,,Us,2026-02
Bilt,World of smoke,"Feb 25, 2026",66.26,Drinks or Smokes,,,Us,2026-02
Bilt,Braums,"Feb 25, 2026",4.69,Food & Living,,,Us,2026-02
Bilt,Deccan grill,"Feb 25, 2026",19.13,Eat Out,Hakeem,,Us,2026-02
Bilt,Hello India,"Feb 25, 2026",12.97,Eat Out,,,Us,2026-02
Bilt,Pista house,"Feb 25, 2026",28.15,Eat Out,Haleem for Pepsi and us,,Us,2026-02
BofA Debit,India shipment,"Feb 26, 2026",1660.00,Luxury (Personal),,,Us,2026-02
Citi Double,McD,"Feb 26, 2026",7.77,Eat Out,,,Us,2026-02
BofA Debit,Laxmi heritage,"Feb 26, 2026",750.00,Luxury (Personal),Pearl vaddanam,,Us,2026-02
Bilt,Taiyaki sweets,"Feb 27, 2026",31.03,Gifts,Vamsi bday - fish shaped sweet,,Us,2026-02
Chase Prime,Amazon,"Feb 28, 2026",200.00,Gifts,Siva sai house warming - Amazon Gift Card,,Us,2026-02
Chase Prime,Amazon,"Feb 28, 2026",100.00,Gifts,Varun Dallas son bday - Amazon Gift Card,,Us,2026-02
Bilt,7/11,"Feb 28, 2026",10.94,Drinks or Smokes,,,Us,2026-02
Bilt,Hashtag,"Mar 1, 2026",2.15,Eat Out,,,Us,2026-02
Bilt,Hyderabad wala,"Mar 1, 2026",69.25,Eat Out,,,Us,2026-02
Bilt,Braums,"Mar 1, 2026",6.47,Food & Living,,,Us,2026-02
Bilt,HEB,"Mar 1, 2026",29.27,Food & Living,,,Us,2026-02
Bilt,Costco,"Mar 2, 2026",110.44,Food & Living,,,Us,2026-02
Bilt,Chowrastha,"Mar 2, 2026",17.98,Food & Living,,,Us,2026-02
Bilt,Co serv,"Mar 2, 2026",256.00,Utilities,Electricity and gas,,Us,2026-02
Citi Double,Nirvana smoke,"Mar 3, 2026",43.29,Drinks or Smokes,,,Us,2026-02
Citi Double,Dollar general,"Mar 3, 2026",12.11,Drinks or Smokes,,,Us,2026-02
Chase Prime,Amazon,"Mar 3, 2026",67.01,Luxury (Personal),Black stud,,Us,2026-02
Bilt,Aldi,"Mar 4, 2026",29.48,Food & Living,,,Us,2026-02
BofA Debit,Cadillac,"Mar 5, 2026",740.00,Car,,,Us,2026-02
Chase Prime,Amazon,"Mar 5, 2026",14.79,Luxury (Personal),Raji Face cream,,Us,2026-02
Wells Fargo,British airways,"Mar 6, 2026",1350.00,Others,Athayagaru flight,,Us,2026-02
Chase Freedom,Vs nails,"Mar 6, 2026",170.00,Luxury (Personal),,,Us,2026-02
Bilt,Hashtag,"Mar 6, 2026",32.45,Eat Out,,,Us,2026-02
Bilt,Chowrastha,"Mar 6, 2026",6.98,Food & Living,,,Us,2026-02
Bilt,Chowrastha,"Mar 6, 2026",21.98,Food & Living,,,Us,2026-02
Chase Prime,Amazon,"Mar 6, 2026",16.23,Others,Subscription,,Us,2026-02
Chase Prime,Amazon,"Mar 7, 2026",67.03,Luxury (Personal),White stud,,Us,2026-02
Chase Prime,Amazon,"Mar 7, 2026",108.24,Gifts,Annaya stroller,,Us,2026-02
Bilt,Ojas,"Mar 8, 2026",40.96,Food & Living,,,Us,2026-02
Chase Prime,Costco,"Mar 8, 2026",166.66,Food & Living,,,Us,2026-02
Bilt,Two Gentleman of Verona,"Mar 9, 2026",32.42,Gifts,Srikanth Harika Wedding Tiramisu Cake,,Us,2026-02
Chase Freedom,Costco,"Apr 1, 2026",66.42,Food & Living,,,Us,2026-03
Discover,India bazaar,"Apr 1, 2026",172.51,Food & Living,,,Us,2026-03
Bilt,India bazaar,"Apr 1, 2026",2.77,Food & Living,,,Us,2026-03
Discover,Monks,"Apr 2, 2026",23.82,Eat Out,,,Us,2026-03
Discover,Fossil Creek Liquor,"Apr 3, 2026",59.53,Drinks or Smokes,Shiva CA glenmorangie,,Us,2026-03
Bilt,Paris Baguette,"Apr 4, 2026",38.95,Gifts,Akki weddding celebs,,Us,2026-03
Bilt,Paris Baguette,"Apr 4, 2026",4.95,Food & Living,,,Us,2026-03
Chase Prime,Silo,"Apr 5, 2026",25.00,Drinks or Smokes,,,Us,2026-03
Chase Prime,Aoura Sheesha Lounge,"Apr 5, 2026",59.54,Drinks or Smokes,,,Us,2026-03
Discover,two gentlemen of Verona,"Apr 6, 2026",32.42,Gifts,For Rohith bday,,Us,2026-03
Discover,World of smoke,"Apr 6, 2026",22.08,Gifts,Smokes for Pepsi and us,,Us,2026-03
Carters,Carters,"Apr 8, 2026",87.00,Gifts,"2 Dresses for Rudra, Bag for Arnika, Bag & Bottle for Reyansh, 2 dresses for Madhu(son)",,Us,2026-03
Apple Card,Citizens loan,"Apr 8, 2026",35.37,Food & Living,,,Us,2026-03
Discover,Grand nails,"Apr 8, 2026",146.00,Luxury (Personal),Nails for Subha & Athayagaru,,Us,2026-03
Discover,Ulta beauty,"Apr 8, 2026",87.04,Luxury (Personal),D alba cream & 345 mist,,Us,2026-03
Discover,Dunkin,"Apr 8, 2026",26.25,Eat Out,,,Us,2026-03
Amex Blue,Lowe’s,"Apr 8, 2026",39.32,Food & Living,Salt,,Us,2026-03
Bilt,Nellis,"Apr 9, 2026",129.47,Luxury (Home),,,Us,2026-03
Bilt,Nellis,"Apr 9, 2026",133.18,Luxury (Home),,,Us,2026-03
Bilt,Nellis,"Apr 9, 2026",1.05,Interest or Fees,Cancelled items,,Us,2026-03
Discover,Brahms,"Apr 9, 2026",7.82,Food & Living,,,Us,2026-03
Wells Fargo,Uscis,"Mar 10, 2026",420.00,Others,Athayagaru stay extension,,Us,2026-03
Chase Prime,Amazon,"Mar 10, 2026",51.84,Luxury (Home),Coat,,Us,2026-03
Bilt,Floyds,"Mar 11, 2026",62.00,Luxury (Personal),,,Us,2026-03
Bilt,Driver license extension,"Mar 12, 2026",66.00,Others,For both,,Us,2026-03
Bilt,Chuys,"Mar 12, 2026",66.00,Eat Out,,,Us,2026-03
Bilt,Trader Joe’s,"Mar 12, 2026",62.95,Food & Living,,,Us,2026-03
Bilt,Ulta beauty,"Mar 12, 2026",89.59,Luxury (Personal),,,Us,2026-03
Amex Blue,NTTA Tolls,"Mar 12, 2026",40.00,Travel,,,Us,2026-03
Bilt,Buckys,"Mar 13, 2026",8.41,Eat Out,Coffee,,Us,2026-03
Discover,Dollar Tree,"Mar 13, 2026",2.71,Gifts,,,Us,2026-03
Bilt,Buckys,"Mar 13, 2026",7.58,Luxury (Home),Car perfume,,Us,2026-03
Bilt,Tesla super charger,"Mar 13, 2026",43.94,Travel,@buccees,,Us,2026-03
Bilt,Totally tea,"Mar 13, 2026",9.61,Eat Out,,,Us,2026-03
Bilt,Bath and body,"Mar 13, 2026",35.92,Luxury (Home),,,Us,2026-03
Discover,Ulta beauty,"Mar 13, 2026",42.22,Luxury (Personal),Perfumes,,Us,2026-03
BofA Debit,Manoj Wedding Gift,"Mar 14, 2026",300.00,Gifts,Cash,,Us,2026-03
Bilt,Tesla super charger,"Mar 14, 2026",27.10,Travel,@buccees,,Us,2026-03
Bilt,Buckys,"Mar 14, 2026",7.58,Eat Out,Coffee,,Us,2026-03
BofA Debit,ATT,"Mar 15, 2026",73.12,Utilities,,,Us,2026-03
Amex Blue,NTTA Tolls,"Mar 15, 2026",40.00,Travel,,,Us,2026-03
Bilt,Mustang water,"Mar 15, 2026",138.96,Utilities,,,Us,2026-03
BofA Debit,Att WiFi,"Mar 17, 2026",65.61,Utilities,,,Us,2026-03
Bilt,India metro,"Mar 17, 2026",69.42,Gifts,,,Us,2026-03
Chase Prime,Costco,"Mar 17, 2026",93.88,Food & Living,,,Us,2026-03
Apple Card,Apple,"Mar 17, 2026",40.63,Food & Living,,,Us,2026-03
Bilt,Laxmi flowers,"Mar 18, 2026",15.16,Food & Living,Ugadi stuff,,Us,2026-03
Bilt,Chowrastha,"Mar 18, 2026",46.36,Food & Living,,,Us,2026-03
Bilt,Chowrastha,"Mar 18, 2026",2.15,Drinks or Smokes,,,Us,2026-03
Bilt,Chowrastha,"Mar 18, 2026",12.98,Eat Out,Boys night out at Paradise,,Us,2026-03
Bilt,Ordinary,"Mar 18, 2026",31.18,Luxury (Personal),Azelaic acid,,Us,2026-03
Discover,USPS,"Mar 20, 2026",6.37,Food & Living,Mail Abatement letter to Jordan tax services,,Us,2026-03
Bilt,Paris Baguette,"Mar 20, 2026",40.99,Gifts,Cake for Ramya match,,Us,2026-03
Discover,USPS,"Mar 20, 2026",7.06,Food & Living,,,Us,2026-03
Bilt,Walmart,"Mar 21, 2026",61.35,Food & Living,USB-C to HDMI adapter,,Us,2026-03
BofA Subha,Ulta beauty,"Mar 21, 2026",31.91,Luxury (Personal),MAC offer,,Us,2026-03
Chase Prime,Costco,"Mar 24, 2026",92.27,Food & Living,,,Us,2026-03
Chase Prime,Amazon,"Mar 24, 2026",75.62,Food & Living,Glutathione for 3 months + pumice,,Us,2026-03
Chase Prime,Amazon,"Mar 24, 2026",28.04,Luxury (Personal),Bobbi Brown + Glycolic acid,,Us,2026-03
Bilt,Walmart,"Mar 25, 2026",48.71,Luxury (Personal),Subha dresses,,Us,2026-03
Citi Double,T mobile prepaid,"Mar 25, 2026",16.71,Food & Living,Athayagaru,,Us,2026-03
Chase Prime,Amazon,"Mar 25, 2026",75.62,Food & Living,Gluta,,Us,2026-03
Bilt,Lowe’s,"Mar 27, 2026",85.25,Luxury (Home),Mulch + Gardening stuff,,Us,2026-03
Bilt,Chowrastha,"Mar 27, 2026",10.98,Food & Living,,,Us,2026-03
Cash,Smoke shop harry Hines,"Mar 27, 2026",100.00,Drinks or Smokes,,,Us,2026-03
Bilt,Perfumes at Ravi imports harry hines,"Mar 27, 2026",10.83,Luxury (Home),,,Us,2026-03
Chase Prime,Amazon,"Mar 27, 2026",33.54,Luxury (Personal),Kahi Balm + wrinkle Bounce,,Us,2026-03
Chase Prime,Amazon,"Mar 27, 2026",3.24,Food & Living,Coffee,,Us,2026-03
Bilt,Velvet taco,"Mar 28, 2026",25.75,Eat Out,,,Us,2026-03
Bilt,Velvet taco,"Mar 28, 2026",8.70,Eat Out,,,Us,2026-03
Bilt,Velvet taco,"Mar 28, 2026",9.83,Eat Out,,,Us,2026-03
Chase Prime,Nursery,"Mar 28, 2026",28.58,Food & Living,,,Us,2026-03
Chase Prime,Costco,"Mar 28, 2026",49.69,Food & Living,,,Us,2026-03
Bilt,Home Depot,"Mar 28, 2026",27.04,Food & Living,,,Us,2026-03
Bilt,Hom depot,"Mar 28, 2026",17.30,Luxury (Home),,,Us,2026-03
Bilt,Huq up,"Mar 28, 2026",56.00,Drinks or Smokes,,,Us,2026-03
Bilt,Nellis,"Mar 29, 2026",135.68,Luxury (Home),,,Us,2026-03
Bilt,Home Depot,"Mar 29, 2026",48.12,Luxury (Home),Rose & drip irrigation,,Us,2026-03
Discover,Braun’s,"Mar 30, 2026",7.34,Food & Living,,,Us,2026-03
Discover,Mexican sugar,"Mar 30, 2026",143.97,Eat Out,Accord sell day - mi cocina date,,Us,2026-03
Discover,Floyd’s,"Mar 30, 2026",51.93,Luxury (Personal),Hair cut,,Us,2026-03
Chase Prime,Velvet taco,"Mar 30, 2026",33.46,Eat Out,,,Us,2026-03
Bilt,Home Depot,"Mar 31, 2026",21.07,Luxury (Home),Caps for rain bird sprinklers,,Us,2026-03
Chase Prime,Amazon,"Mar 31, 2026",8.19,Food & Living,Tester,,Us,2026-03
Amex Blue,NTTA Tolls,"Apr 10, 2026",40.00,Car,,,Us,2026-04
Discover,Royal kings liquor,"Apr 10, 2026",33.55,Gifts,Tequila for Navya moms bday,,Us,2026-04
Chase Prime,ALdi,"Apr 10, 2026",10.57,Gifts,Navya Mom bday,,Us,2026-04
Chase Prime,Amazon,"Apr 10, 2026",36.59,Luxury (Home),Incense Sticks + d alba,,Us,2026-04
Discover,Butlington,"Apr 12, 2026",63.66,Luxury (Personal),,,Us,2026-04
